                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.3225,                0.91081,                 1.2571,                0.64726,                0.50755,                0.47077,                0.26544,                  1.551,                 1.0741,                 1.5027,              0.0096172,              0.0096172,              0.0096172
                     65,                 1.2929,                0.91557,                 1.2569,                0.67407,                0.45221,                0.43157,                0.25081,                 1.5647,                 1.0443,                 1.5095,              0.0096051,              0.0096051,              0.0096051
                     66,                 1.3054,                0.91336,                 1.2489,                0.75353,                0.40517,                0.45546,                0.25351,                 1.5849,                 1.0872,                 1.5372,              0.0095929,              0.0095929,              0.0095929
                     67,                 1.3288,                0.93465,                 1.2678,                0.61702,                0.48199,                 0.5148,                0.28549,                 1.5967,                 1.0356,                 1.5175,              0.0095804,              0.0095804,              0.0095804
                     68,                  1.334,                0.93083,                 1.2692,                0.39069,                0.50014,                0.41573,                0.25166,                 1.5328,                 1.1835,                  1.495,              0.0095678,              0.0095678,              0.0095678
                     69,                 1.3401,                0.95931,                 1.2764,                 0.6617,                0.45979,                0.46182,                0.27227,                 1.5608,                 1.0721,                 1.5028,               0.009555,               0.009555,               0.009555
                     70,                 1.3218,                0.91825,                 1.2643,                 0.7392,                0.48897,                0.48477,                0.27011,                 1.5711,                 1.0841,                 1.5141,               0.009542,               0.009542,               0.009542
                     71,                 1.3282,                0.93038,                  1.267,                0.67115,                0.52317,                0.50218,                0.28376,                 1.5738,                 1.0693,                 1.4879,              0.0095289,              0.0095289,              0.0095289
                     72,                  1.321,                0.91721,                 1.2603,                0.61402,                0.53656,                0.46987,                0.26422,                 1.5234,                 1.0767,                 1.4847,              0.0095156,              0.0095156,              0.0095156
                     73,                 1.3016,                0.91973,                 1.2586,                0.62442,                0.47501,                0.46226,                0.26273,                 1.5367,                 1.0705,                 1.5167,              0.0095021,              0.0095021,              0.0095021
                     74,                 1.3344,                0.92833,                 1.2658,                0.44207,                0.49998,                0.45326,                0.26945,                 1.5834,                 1.1872,                 1.5117,              0.0094884,              0.0094884,              0.0094884
                     75,                  1.298,                0.91545,                 1.2525,                0.52889,                0.44308,                0.47228,                0.28327,                 1.5274,                 1.0366,                 1.4671,              0.0094745,              0.0094745,              0.0094745
                     76,                 1.3066,                0.90439,                 1.2483,                0.73227,                0.44857,                0.46566,                 0.2705,                 1.5793,                 1.1084,                 1.5208,              0.0094605,              0.0094605,              0.0094605
                     77,                 1.3003,                0.90658,                 1.2523,                0.49008,                0.49271,                 0.4845,                0.29097,                 1.5436,                 1.0661,                 1.4877,              0.0094463,              0.0094463,              0.0094463
                     78,                 1.2973,                0.89722,                 1.2479,                0.65408,                0.40528,                0.42151,                0.23892,                 1.5474,                 1.1878,                 1.5129,              0.0094319,              0.0094319,              0.0094319
                     79,                 1.2874,                0.88757,                 1.2427,                0.72149,                0.44669,                0.47967,                0.28441,                 1.5969,                 1.1308,                 1.5368,              0.0094173,              0.0094173,              0.0094173
                     80,                 1.2979,                0.89113,                 1.2564,                0.72492,                0.48134,                0.50133,                0.29171,                 1.5562,                 1.0291,                 1.4907,              0.0094026,              0.0094026,              0.0094026
                     81,                 1.2799,                0.86611,                 1.2373,                0.70044,                0.43741,                 0.4413,                 0.2466,                 1.6094,                 1.1071,                  1.543,              0.0093877,              0.0093877,              0.0093877
                     82,                 1.3069,                 0.8914,                 1.2496,                0.72352,                0.41644,                0.45187,                0.26753,                 1.5359,                 1.0538,                 1.4862,              0.0093726,              0.0093726,              0.0093726
                     83,                 1.3166,                0.91523,                 1.2688,                0.73116,                0.45314,                0.48293,                0.28177,                 1.5476,                 1.0193,                 1.5047,              0.0093574,              0.0093574,              0.0093574
                     84,                 1.3029,                0.90687,                 1.2548,                0.48784,                0.53972,                0.51877,                0.29462,                 1.5488,                 1.0752,                 1.5046,               0.009342,               0.009342,               0.009342
